year,group,enrollment
2014,aian,151703
2014,asian,1171440
2014,black,2732146
2014,hispanic,3396606
2014,nhpi,66138
2014,white,10827804
2014,two_more,606679
2014,nonresident,921585
2015,aian,145672
2015,asian,1189751
2015,black,2615648
2015,hispanic,3492844
2015,nhpi,62547
2015,white,10539251
2015,two_more,634561
2015,nonresident,987061
2016,aian,141112
2016,asian,1215567
2016,black,2521922
2016,hispanic,3603654
2016,nhpi,60167
2016,white,10341077
2016,two_more,647580
2016,nonresident,1001211
2017,aian,137163
2017,asian,1239196
2017,black,2497471
2017,hispanic,3712098
2017,nhpi,59125
2017,white,10173756
2017,two_more,681857
2017,nonresident,1002361
2018,aian,132866
2018,asian,1268483
2018,black,2443304
2018,hispanic,3786172
2018,nhpi,57452
2018,white,9984092
2018,two_more,711183
2018,nonresident,992370
2019,aian,129710
2019,asian,1285936
2019,black,2419345
2019,hispanic,3898955
2019,nhpi,57369
2019,white,9822119
2019,two_more,735191
2019,nonresident,978186
2020,aian,121003
2020,asian,1301145
2020,black,2344516
2020,hispanic,3818974
2020,nhpi,55367
2020,white,9509926
2020,two_more,745109
2020,nonresident,850558
2021,aian,120898
2021,asian,1313857
2021,black,2291396
2021,hispanic,3776671
2021,nhpi,53671
2021,white,9207015
2021,two_more,740020
2021,nonresident,886671
2022,aian,121693
2022,asian,1331395
2022,black,2284322
2022,hispanic,3883674
2022,nhpi,51113
2022,white,8926028
2022,two_more,747681
2022,nonresident,969377
2023,aian,126043
2023,asian,1371141
2023,black,2381514
2023,hispanic,4100405
2023,nhpi,50122
2023,white,8941745
2023,two_more,791968
2023,nonresident,1025516
2024,aian,129479
2024,asian,1427103
2024,black,2521174
2024,hispanic,4353181
2024,nhpi,50418
2024,white,8979199
2024,two_more,842507
2024,nonresident,1050948
