year,forecast,lower_80,upper_80,lower_95,upper_95,type
2014,20989224,NA,NA,NA,NA,Historical
2015,20713705,NA,NA,NA,NA,Historical
2016,20531827,NA,NA,NA,NA,Historical
2017,20427637,NA,NA,NA,NA,Historical
2018,20281045,NA,NA,NA,NA,Historical
2019,20254440,NA,NA,NA,NA,Historical
2020,19663770,NA,NA,NA,NA,Historical
2021,19311705,NA,NA,NA,NA,Historical
2022,19209305,NA,NA,NA,NA,Historical
2023,19703588,NA,NA,NA,NA,Historical
2024,20357226,NA,NA,NA,NA,Historical
2024,20357226,NA,NA,NA,NA,Forecast
2025,20357226,19895623.94139724,20818828.05860276,19651266.5720885,21063185.4279115,Forecast
2026,20357226,19704422.108304635,21010029.891695365,19358848.6025624,21355603.3974376,Forecast
2027,20357226,19557707.78162163,21156744.21837837,19134468.40277502,21579983.59722498,Forecast
2028,20357226,19434021.88279448,21280430.11720552,18945307.144176994,21769144.855823006,Forecast
2029,20357226,19325052.418410387,21389399.581589613,18778652.729833018,21935799.270166982,Forecast
