UNITID,EFTOTLT,EFBKAAT,EFHISPT,EFWHITT,EFNRALT,RET_PCF,RET_PCP,STUFACR
100654,7295,6326,156,174,226,70,21,19
100663,20905,4586,1384,10052,1873,80,47,18
100706,8564,820,608,5715,278,84,43,17
100724,4081,3464,53,143,109,70,21,15
100751,40846,4887,2914,28204,1207,89,50,19
100760,2140,480,124,1418,4,60,31,16
100830,5217,1712,53,1715,1221,68,60,13
100858,34145,1628,1524,26962,1767,95,71,21
101028,1705,782,125,645,4,52,27,14
101116,303,224,2,44,1,62,50,13
101143,2699,491,244,1709,16,63,40,17
101161,7553,1672,372,4860,36,62,44,16
101189,3086,943,141,1626,141,64,52,14
101240,5071,847,427,3422,39,62,37,17
101277,81,0,20,61,0,77,NA,20
101286,4044,1187,310,2263,7,62,43,14
101295,6424,476,745,4826,32,66,47,18
101301,1925,1452,37,358,9,63,36,15
101365,444,324,9,79,0,67,100,14
101435,892,212,48,559,0,67,NA,15
101453,178,13,5,153,4,0,NA,8
101462,1187,655,116,270,23,51,40,13
101471,960,507,25,414,6,78,74,13
101480,9955,2174,495,6068,310,65,18,19
101505,9240,1989,810,5713,143,59,44,19
101514,9119,1474,944,5686,75,65,48,22
101569,3453,2744,171,342,22,59,34,19
101587,6820,2360,155,3768,105,65,33,19
101602,2062,374,69,1462,4,64,39,16
101648,332,91,44,167,0,46,NA,11
101675,1180,1100,23,39,0,56,0,12
101693,1545,222,56,832,32,74,NA,14
101709,3088,440,181,1720,86,73,50,13
101736,4665,378,562,3341,15,69,36,18
101879,10204,1225,241,6849,452,80,36,18
101897,3208,61,618,2272,7,69,62,17
101912,1226,780,97,16,0,71,33,14
101994,641,402,22,174,4,63,43,15
102030,4001,2385,135,1038,78,55,31,17
102049,6097,476,307,4880,72,93,NA,14
102058,95,95,0,0,0,67,25,3
102067,4601,1535,347,2458,36,58,40,18
102076,2917,204,558,1989,8,68,35,20
102094,14003,3110,742,8448,287,76,39,19
102234,919,122,88,536,93,70,100,11
102270,731,644,2,46,23,53,68,13
102298,760,521,47,36,109,54,NA,17
