UNITID,EFTOTLT,EFBKAAT,EFHISPT,EFWHITT,EFNRALT,RET_PCF,RET_PCP,STUFACR,low_retention,risk_score
100654,7295,6326,156,174,226,70,21,19,0,0.8624124568319729
100663,20905,4586,1384,10052,1873,80,47,18,0,0.1930507484886616
100706,8564,820,608,5715,278,84,43,17,0,0.32204718639033175
100724,4081,3464,53,143,109,70,21,15,0,0.6837652673162422
100751,40846,4887,2914,28204,1207,89,50,19,0,0.2393109888588986
100760,2140,480,124,1418,4,60,31,16,1,0.4220920595986479
100830,5217,1712,53,1715,1221,68,60,13,1,0.20846673418574535
100858,34145,1628,1524,26962,1767,95,71,21,0,0.05221916742161273
101028,1705,782,125,645,4,52,27,14,1,0.45024179537397807
101116,303,224,2,44,1,62,50,13,1,0.4005621328008569
101143,2699,491,244,1709,16,63,40,17,1,0.4173117582020358
101161,7553,1672,372,4860,36,62,44,16,1,0.4901518079568239
101189,3086,943,141,1626,141,64,52,14,1,0.41684302817123386
101240,5071,847,427,3422,39,62,37,17,1,0.43020564151455926
101277,81,0,20,61,0,77,NA,20,0,0.40319519272011406
101286,4044,1187,310,2263,7,62,43,14,1,0.473826477715892
101295,6424,476,745,4826,32,66,47,18,1,0.38913562713015415
101301,1925,1452,37,358,9,63,36,15,1,0.5244168220506233
101365,444,324,9,79,0,67,100,14,1,0.41369242797260614
101435,892,212,48,559,0,67,NA,15,1,0.40125529778573255
101453,178,13,5,153,4,0,NA,8,1,0.36339637695151705
101462,1187,655,116,270,23,51,40,13,1,0.4324481759573068
101471,960,507,25,414,6,78,74,13,0,0.4248852326463837
101480,9955,2174,495,6068,310,65,18,19,1,0.4530716519132952
101505,9240,1989,810,5713,143,59,44,19,1,0.4969260915993676
101514,9119,1474,944,5686,75,65,48,22,1,0.4641520445164673
101569,3453,2744,171,342,22,59,34,19,1,0.6568090238656605
101587,6820,2360,155,3768,105,65,33,19,1,0.5635248713349379
101602,2062,374,69,1462,4,64,39,16,1,0.40995357470647636
101648,332,91,44,167,0,46,NA,11,1,0.38071636690695393
101675,1180,1100,23,39,0,56,0,12,1,0.48522556017184904
101693,1545,222,56,832,32,74,NA,14,0,0.37792470524280247
101709,3088,440,181,1720,86,73,50,13,0,0.3666394598241659
101736,4665,378,562,3341,15,69,36,18,1,0.3943224428859653
101879,10204,1225,241,6849,452,80,36,18,0,0.3000305993873018
101897,3208,61,618,2272,7,69,62,17,1,0.3746943274958795
101912,1226,780,97,16,0,71,33,14,0,0.45014484842814845
101994,641,402,22,174,4,63,43,15,1,0.4226843079764851
102030,4001,2385,135,1038,78,55,31,17,1,0.5900207435707736
102049,6097,476,307,4880,72,93,NA,14,0,0.36314738524114337
102058,95,95,0,0,0,67,25,3,1,0.3573988452832633
102067,4601,1535,347,2458,36,58,40,18,1,0.5146204632482427
102076,2917,204,558,1989,8,68,35,20,1,0.40277668174317355
102094,14003,3110,742,8448,287,76,39,19,0,0.5198065909904855
102234,919,122,88,536,93,70,100,11,0,0.3544149911803905
102270,731,644,2,46,23,53,68,13,1,0.4361595446677454
102298,760,521,47,36,109,54,NA,17,1,0.4122998815730004
102313,2046,1504,112,314,10,51,33,16,1,0.5321849196504388
102368,13658,4358,774,7017,510,71,29,16,0,0.5945990997813856
102377,3121,2482,12,56,0,81,NA,14,0,0.6119537481617822
102395,367,110,46,168,0,43,58,14,1,0.39195461605513354
102429,4378,596,196,3367,0,66,57,16,1,0.4165631664191131
102553,10493,327,1052,4737,166,71,49,11,0,0.22153864304583515
102580,38,0,1,27,0,100,NA,5,0,0.3544263188786557
102614,6893,181,609,3693,168,74,42,11,0,0.2619317188318034
102632,2000,31,171,1090,25,76,29,9,0,0.3363754232924987
102669,593,26,47,215,5,68,40,7,1,0.35201455462006426
102711,269,3,9,107,1,92,99,12,0,0.37206505312492383
102845,2157,176,627,747,10,25,NA,25,1,0.41211615879209423
103501,250,25,18,63,0,76,NA,16,0,0.38794600726965106
103741,203,10,112,53,0,79,76,15,0,0.38712531848175735
103893,1080,144,610,145,3,74,NA,25,0,0.42871971331933695
103909,528,50,223,132,2,79,NA,12,0,0.37750280642261685
103927,517,29,356,64,1,79,NA,20,0,0.40458766272402424
103954,47,6,24,13,0,100,NA,24,0,0.4173922893948295
103963,689,72,322,177,0,81,NA,24,0,0.4199012958748989
104090,739,123,222,122,1,25,NA,22,1,0.41325602443113324
104151,79818,3231,18769,30450,12563,87,52,18,0,7.77130673703259e-8
104160,8964,95,6755,972,138,67,50,22,1,0.3622503459219601
104179,56365,2315,14219,24404,3636,83,52,20,0,0.0029949973341820498
104346,5053,314,2173,1408,87,61,36,15,1,0.3564478497959947
104391,76,0,18,45,0,94,NA,18,0,0.39628447087785706
104443,104,26,30,18,0,79,56,12,0,0.37884252218715064
104568,298,23,92,125,0,86,75,22,0,0.41000946219511425
104586,3264,77,519,1759,273,82,38,17,0,0.2994857039291514
104717,113257,22814,25767,49869,967,72,47,20,0,0.9905868212352933
105206,4619,73,1456,2574,0,49,38,12,1,0.35384771013608735
